comunidad_nombre,pueblo,situacion_inscripcion,municipio_nombre,municipio_id,localidad,familias_cantidad,miembros_cantidad,longitud,latitud
"Comunidad ""Gral. Juan Calfucurá""",Mapuche,En trámite CPAI-REPROCI,La Plata,06441,La Plata,5,17,-57.92226,-34.93101
Comunidad Indígena Andres Guacurarí Cayngua Guaraní,Guaraní (gran nación),En trámite CPAI-REPROCI,Merlo,06539,Merlo,10,11,-58.78817,-34.68808
Comunidad Qom Xuac'a Aso El Xaay (brazo del río),Qom ó Toba,En trámite CPAI-REPROCI,La Plata,06441,La Plata,16,71,-58.01015,-34.92598
Comunidad Punta Querandí,Multiétnica,En trámite CPAI-REPROCI,Tigre,06805,Dique Luján,20,50,-58.70511,-34.37195
Comunidad Kolla Tinkunaku,Kolla,En trámite CPAI-REPROCI,Merlo,06539,Mariano Acosta,24,93,-58.80087,-34.72649
Comunidad Marka Wasi,Kolla,Inscripta Asociación Civil-DPPJ,La Plata,06441,La Plata,11,31,-57.95254,-34.89499
Comunidad Ranquel Huitra,Ranquel,En trámite CPAI-REPROCI,Bahía Blanca,06056,Bahía Blanca,7,16,-62.23494,-38.72537
Comunidad Indígena Tonokoté Chañarp Sisan,Tonokoté,En trámite CPAI-REPROCI,Florencio Varela,06274,Florencio Varela,12,45,-58.32063,-34.81477
Comunidad Indígena Migrante Tonokote Wayra´Rimaj,Tonokoté,En trámite CPAI-REPROCI,Quilmes,06658,Ezpeleta,9,23,-58.23556,-34.74364
Comunidad Indígena Tonokote Migrante Los Pereyra,Tonokoté,En trámite CPAI-REPROCI,Almirante Brown,06028,Almirante brown,7,31,-58.34259,-34.77174
Comunidad Nogoyin Ni Nala,Multiétnica,En trámite CPAI-REPROCI,Almirante Brown,06028,San Francisco Solano,15,57,-58.3299,-34.78576
Comunidad Multiétnica Colectivo Tres Ombúes,Multiétnica,En trámite CPAI-REPROCI,La Matanza,06427,Ciudad Evita,15,35,-58.507472,-34.727384
Comunidad Ñuque Mapu,Mapuche,En trámite CPAI-REPROCI,General Viamonte,06385,Los Toldos,7,19,-61.05202,-35.0053
Comunidad Dalaxaic´QOM (Nueva generación QOM),Qom ó Toba,En trámite CPAI-REPROCI,Almirante Brown,06028,Almirante brown,17,66,-58.33817,-34.76649
Comunidad Qhapaj Ñan,Quechua - Aymara,En trámite CPAI-REPROCI,Merlo,06539,Mariano Acosta,10,28,-58.7883,-34.72701
Comunidad Cacique Ramón Chará,Qom ó Toba,En trámite CPAI-REPROCI,Tigre,06805,Benavidez,3,9,-58.68435,-34.41962
Comunidad Urbana Guaraní Mbo’ ehára Jasy Rendy,Guaraní (gran nación),En trámite CPAI-REPROCI,José C. Paz,06412,José C. Paz,5,12,-58.74327,-34.53803
Comunidad Kalfulafken,Mapuche,En trámite CPAI-REPROCI,Adolfo Alsina,06007,Carhué,8,25,-62.74337,-37.17744
Mapuche La Azotea,Mapuche,Inscripta Asociación Civil-DPPJ,General Viamonte,06385,Los Toldos,8,24,-61.03282,-34.99687
Comunidad Mapuche Rankel Rupu-Antv,Mapuche,En trámite CPAI-REPROCI,Lincoln,06469,Lincoln,9,15,-61.54738,-34.86546
Comunidad Los Morenitos,Kolla,En trámite CPAI-REPROCI,Moreno,06560,Trujui,8,22,-58.76898,-34.6117
Comunidad Guaraní Areteguasu,Guaraní (gran nación),En trámite CPAI-REPROCI,La Matanza,06427,Gregorio de Laferrere,18,75,-58.60384,-34.75301
"Comunidad Katsu a atük (Comunidad ""Sierras de la Baritina"")",Günün a küna ó Tehuelche,En trámite CPAI-REPROCI,Morón,06568,Morón,3,5,-58.630646,-34.676293
Comunidad Warisata,Guaraní (gran nación),En trámite CPAI-REPROCI,Florencio Varela,06274,Ingeniero Allan,8,34,-58.218118,-34.887736
Comunidad Qompi (hermanxs tobas),Qom ó Toba,En trámite CPAI-REPROCI,Escobar,06252,Garín,15,60,-58.74211,-34.42997
Comunidad Moqoit del Delta de Tigre,Mocoví,En trámite CPAI-REPROCI,Tigre,06805,Primera sección de Islas de Tigre,,,-58.639197,-34.37072
Comunidad Inti,Kolla,En trámite CPAI-REPROCI,Ensenada/La Plata,06245/06441,Ensenada / La Plata,19,68,-57.92944,-34.90303
Comunidad Urbana Pillán Manke,Mapuche,En trámite CPAI-REPROCI,Olavarría,06595,Olavarría,7,25,-60.323305,-36.89367
Comunidad Tata Guasu,Guaraní (gran nación),En trámite CPAI-REPROCI,General San Martín,06371,José León Suarez,13,43,-58.57689,-34.53473
Comunidad Madre Tierra,Kolla,En trámite CPAI-REPROCI,San Nicolás,06763,San Nicolás de los Arroyos,11,46,-60.25067,-33.35265
Comunidad Kuarajhí,Guaraní (gran nación),En trámite CPAI-REPROCI,Quilmes,06658,Ezpeleta,19,66,-58.25817,-34.75062
Comunidad Guaraní Teko Porá (Buen Vivir),Guaraní (gran nación),Sin inscripción,La Plata,06441,La Plata,11,46,-58.032459,-34.95093
Comunidad Colla Madre Tierra,Kolla,En trámite CPAI-REPROCI,Tres de Febrero,06840,Ciudadela,,14,-58.54836,-34.6235
Comunidad Mink'Akuy Tawantisuyupaq,Quechua,Inscripta CPAI-REPROCI,Hurlingham,06408,William C. Morris,8,24,-58.65627,-34.57749
Comunidad Mapuche Tehuelche Nahuel Payun,Mapuche - Tehuelche (Günün a küna),Inscripta CPAI-REPROCI,Junín,06413,Junín,18,44,-60.9661,-34.57365
Comunidad Q'om Dalaxaic' Na'Aq' (nuevo día),Qom ó Toba,Inscripta CPAI-REPROCI,La Plata,06441,La Plata,9,33,-58.01077,-34.94328
Comunidad Lma Iacia Qom,Qom ó Toba,Inscripta CPAI-REPROCI,San Pedro,06770,San Pedro,9,31,-59.67848,-33.6777
Comunidad Saphy Ayllu,Kolla,Inscripta CPAI-REPROCI,La Matanza,06427,Gregorio de Laferrere,11,52,-58.578191,-34.75024
Comunidad Ayllu Cinco Siglos de Qué?,Kolla,Inscripta CPAI-REPROCI,Lanús,06434,Monte Chingolo,7,22,-58.36251,-34.73891
Comunidad Kintu Kimvn,Mapuche,Inscripta CPAI-REPROCI,General Viamonte,06385,Los Toldos,10,15,-61.021,-34.99742
Comunidad Hermanos Mapuches de los Toldos,Mapuche,Inscripta CPAI-REPROCI,General Viamonte,06385,Los Toldos,20,68,-61.0466,-35.01116
Comunidad Qom Nqa?añec’pi Naqota’at (Hermanos Unidos),Qom ó Toba,Inscripta CPAI-REPROCI,La Plata,06441,La Plata,32,99,-58.00963,-34.94667
