Dependencia;Organismo;Nombre;Dirección;Partido;Teléfono;Horario;Web;Información;X;Y;;
"""Museo""";"""Ministerio de Gestión Cultural""";"""Museo de Arte Contemporáneo (MAR)""";"""Costanera Félix U. Camet y López de Gomara""";"""General Pueyrredón""";"""(0223) 471-7695""";"""Lunes, martes, jueves y viernes de 10 a 18 h; sábados, domingos y feriados de 12 a 20 h; miércoles cerrado.""";"""https://www.gba.gob.ar/cultura/museos""";"""Entrada libre y gratuita""";-57.543932;-37.973223;;
"""Museo""";"""Ministerio de Gestión Cultural""";"""Museo Provincial de Bellas Artes “Emilio Pettoruti”""";"""Calle 51 Nº 525 entre 5 y 6 - La Plata""";"""La Plata""";"""(0221) 421 2206 / 8619""";"""Martes a viernes: 10:00 a 19:00 hs. sábado y domingo: 16 a 19 h.""";"""https://www.gba.gob.ar/cultura/museos""";;-57.947548;-34.913708;;
"""Museo""";"""Ministerio de Gestión Cultural""";"""Museo y Biblioteca Provincial Juan Domingo Perón""";"""Presidente Juan D. Perón Nº 482 - Lobos.""";"""Lobos""";"""(2227) 422843""";"""Miércoles a domingo de 10 a 12 y de 15 a 18 h.""";"""https://www.gba.gob.ar/cultura/museos""";"""Visitas guiadas: se hacen a pedido telefónico para escuelas y público en general.""";-59.097066;-35.190182;;
"""Museo""";"""Ministerio de Gestión Cultural""";"""Museo Histórico Provincial “Libres del Sud”""";"""Juan B. Selva Nº 390 - Dolores.""";"""Dolores""";"""(02245) 442730""";"""Miércoles a domingos de 10:00 a 16:00 h.""";"""https://www.gba.gob.ar/cultura/museos""";"""Visitas guiadas: se hacen a pedido telefónico para escuelas y público en general.""";-57.697619;-36.317748;;
"""Museo""";"""Ministerio de Gestión Cultural""";"""Museo Histórico Provincial “Guillermo Enrique Hudson”""";"""calle 1356 (El Zaino) entre Av. Hudson y 1379 - Florencio Varela""";"""Florencio Varela""";"""(02229) 497314/31 (0221) 15 54046462""";"""Miércoles a viernes de 9:30 a 16:00 h, sábados y domingos de 10:30 a 17:30 h.""";"""https://www.gba.gob.ar/cultura/museos""";;-58.226479;-34.855887;;
"""Museo""";"""Ministerio de Gestión Cultural""";"""Museo Histórico “17 de Octubre” Quinta San Vicente""";"""calle Lavalle y Eva Perón - San Vicente.""";"""San Vicente""";"""(02225) 482260 / 482509""";"""De abril a octubre: sábados, domingos y lunes feriados de 10 a 16 h. De noviembre a marzo: sábados, domingos y lunes feriados de 10 a 17 h. Los miércoles, jueves y viernes se abre el museo para las instituciones que los soliciten previamente.""";"""https://www.gba.gob.ar/cultura/museos""";;-58.436603;-35.020293;;
"""Museo""";"""Ministerio de Gestión Cultural""";"""Complejo Museográfico Provincial “Enrique Udaondo”""";"""calle Lavalle entre Lezica y Terresuri Nº 917 - Luján.""";"""Luján""";"""(02323) 420245 / 422814.""";"""Biblioteca y archivo: lunes a viernes de 10.00 a 17.00 h. Museo: miércoles de 12:30 a 16:30 h. jueves y viernes de 11:30 a 16:30 h; sábados y domingos de 10.30 a 17.30 h. Feriados de 12:30 a 17:30 h.""";"""https://www.gba.gob.ar/cultura/museos""";"""Oficinas de Administración: lunes a viernes de 8 a 18 h. Tel: (02323) 429843.""";-59.120711;-34.562392;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
