Title,Description,Address1,Address2,NaceCode,Latitude,Longitude,Region,DccArea,CensusSmallArea,ElectoralDivision
Aras Mhuire Hall,"Bringing the community together for events, activities, support and much more",Tyrconnell Road,Inchicore,94.99,53.337795,-6.325207,Dublin City Council,South Central,268078007,Inchicore A
Ashgrove Community Centre,"Bringing the community together for events, activities, support and much more",Ash Grove,The Liberties,94.99,53.33988609,-6.277102949,Dublin City Council,South Central,268099007,Merchants Quay B
Axis Community Resource Centre,"Cafe, creche,conference centre and community development",Main Street,Ballymun,94.99,53.39578098,-6.262791598,Dublin City Council,North West,268017018,Ballymun C
Ayrfield Club,A brilliant club atmosphere and a lovely pint of Guinness,Blunden Drive,Donaghmede,94.99,53.39740711,-6.182000441,Dublin City Council,North Central,268008017/01,Ayrfield
"Ballybough Community, Youth & Sports Centre","Bringing the community together for events, sport, activities, support and much more",4 9Ballybough Road,Ballybough,94.99,53.36069694,-6.243013636,Dublin City Council,Central,268009008,Ballybough A
Ballymun East Community Centre,"Bringing the community together for events, sport, activities, support and much more",Virgin Mary School,Shangan Road,94.99,53.39641257,-6.260827353,Dublin City Council,North West,268017014,Ballymun C
Beechwood Avenue Community Centre,"Bringing the community together for events, activities, support and much more",Mountain View Road,Ranelagh,94.99,53.31871792,-6.251841694,Dublin City Council,South East,268130002,Rathmines East C
Blackhall/St. Paul's Community Centre,"Bringing the community together for events, activities, support and much more",Blackhall Parade,,94.99,53.34912817,-6.280920005,Dublin City Council,Central,268003010,Arran Quay C
Bluebell Youth & Community Centre,"Bringing the community together for events, sport, activities, support and much more",Bluebell Avenue,,94.99,53.33278507,-6.33630279,Dublin City Council,South Central,268079006,Inchicore B
Bulfin Court Day Centre,"Bringing the community together for events, activities, support and much more",Bulfin Road,Inchicore,94.99,53.33942758,-6.316271551,Dublin City Council,South Central,268085008/01,Kilmainham C
CIE Hall - Inchicore Sports and Social Club,A historic venue in Dublin 8 offering a wide range of cultural events,West Terrace,Inchicore,94.99,53.34086573,-6.324667321,Dublin City Council,South Central,268084001,Kilmainham B
Cabra Parkside Community and Sports Centre,"Bringing the community together for events, sport, activities, support and much more","John Paul II Park,  Ratoath Road",Cabra,94.99,53.36816339,-6.307183532,Dublin City Council,North West,268006018,Ashtown A
Carleton Hall,"Bringing the community together for events, activities, support and much more",53A Shelmartin Avenue,,94.99,53.36727058,-6.23771063,Dublin City Council,North Central,268050006,Clontarf West E
Carmelite Community Centre,"Bringing the community together for events, activities, support and much more",56 Aungier Street,,94.99,53.33971144,-6.266072956,Dublin City Council,South East,268140004,Royal Exchange A
Carmichael Centre,"Bringing the community together for events, activities, support and much more",Carmichael House,Brunswick Street North,94.99,53.33574509,-6.246975349,Dublin City Council,South East,268143001,South Dock
Charlemont Community Centre,"Bringing the community together for events, activities, support and much more",34 Tom Kelly Road,,94.99,53.33156866,-6.263529816,Dublin City Council,South East,268142003,St. Kevin's
Cherry Orchard Equine And Educational Centre,"Bringing the community together for events, activities, support and much more",Cherry Orchard Green,,94.99,53.33834513,-6.380067516,Dublin City Council,South Central,268038001,Cherry Orchard A
